"Id","Distance"
1503960366,243
1624580081,120
1644430081,159
1844505072,52
1927972279,19
2022484408,247
2026352035,110
2320127002,97
2347167796,114
2873212765,159
3372868164,95
3977333714,226
4020332650,47
4057192912,11
4319703577,149
4388161847,262
4445114986,103
4558609924,153
4702921684,214
5553957443,175
5577150313,187
6117666160,150
6290855005,122
6775888955,47
6962181067,206
7007744171,206
7086361926,199
8053475328,356
8253242879,88
8378563200,216
8583815059,175
8792009665,35
8877689391,408
